elapsed_s,tank_top,tank_bottom,hx_hot_in,hx_hot_out,hx_cold_in,hx_cold_out,room
2270,28.22,27.55,39.89,35.89,27.89,30.89,22.0
2275,28.1,27.65,39.9,35.9,27.9,30.9,22.0
2280,28.19,27.57,39.91,35.91,27.91,30.91,22.0
2285,28.29,27.7,39.92,35.92,27.92,30.92,22.0
2290,28.19,27.71,39.93,35.93,27.93,30.93,22.0
2295,28.27,27.61,39.94,35.94,27.94,30.94,22.0
2300,28.23,27.66,39.95,35.95,27.95,30.95,22.0
2305,28.26,27.63,39.96,35.96,27.96,30.96,22.0
2310,28.26,27.66,39.97,35.97,27.97,30.97,22.0
2315,28.33,27.74,39.98,35.98,27.98,30.98,22.0
2320,28.28,27.7,39.99,35.99,27.99,30.99,22.0
2325,28.32,27.72,40.0,36.0,28.0,31.0,22.0
2330,28.34,27.7,40.0,36.0,28.0,31.0,22.0
2335,28.33,27.74,40.01,36.01,28.01,31.01,22.0
2340,28.29,27.75,40.02,36.02,28.02,31.02,22.0
2345,28.29,27.7,40.03,36.03,28.03,31.03,22.0
2350,28.27,27.71,40.04,36.04,28.04,31.04,22.0
2355,28.34,27.74,40.05,36.05,28.05,31.05,22.0
2360,28.41,27.82,40.06,36.06,28.06,31.06,22.0
2365,28.34,27.77,40.07,36.07,28.07,31.07,22.0
2370,28.43,27.74,40.08,36.08,28.08,31.08,22.0
2375,28.33,27.78,40.09,36.09,28.09,31.09,22.0
2380,28.47,27.76,40.1,36.1,28.1,31.1,22.0
2385,28.4,27.73,40.11,36.11,28.11,31.11,22.0
2390,28.37,27.8,40.12,36.12,28.12,31.12,22.0
2395,28.33,27.77,40.13,36.13,28.13,31.13,22.0
2400,28.41,27.83,40.14,36.14,28.14,31.14,22.0
2405,28.42,27.93,40.15,36.15,28.15,31.15,22.0
2410,28.46,27.89,40.15,36.15,28.15,31.15,22.0
2415,28.5,27.94,40.16,36.16,28.16,31.16,22.0
2420,28.48,27.77,40.17,36.17,28.17,31.17,22.0
2425,28.42,27.81,40.18,36.18,28.18,31.18,22.0
2430,28.5,27.96,40.19,36.19,28.19,31.19,22.0
2435,28.42,27.91,40.2,36.2,28.2,31.2,22.0
2440,28.53,27.89,40.21,36.21,28.21,31.21,22.0
2445,28.59,27.9,40.22,36.22,28.22,31.22,22.0
2450,28.57,27.96,40.23,36.23,28.23,31.23,22.0
2455,28.48,27.83,40.24,36.24,28.24,31.24,22.0
2460,28.57,27.88,40.25,36.25,28.25,31.25,22.0
2465,28.56,27.92,40.26,36.26,28.26,31.26,22.0
2470,28.59,27.95,40.26,36.26,28.26,31.26,22.0
2475,28.56,27.96,40.27,36.27,28.27,31.27,22.0
2480,28.6,27.97,40.28,36.28,28.28,31.28,22.0
2485,28.63,27.92,40.29,36.29,28.29,31.29,22.0
2490,28.56,28.0,40.3,36.3,28.3,31.3,22.0
2495,28.58,27.95,40.31,36.31,28.31,31.31,22.0
2500,28.59,27.99,40.32,36.32,28.32,31.32,22.0
2505,28.66,28.08,40.33,36.33,28.33,31.33,22.0
2510,28.63,28.01,40.34,36.34,28.34,31.34,22.0
2515,28.66,27.98,40.35,36.35,28.35,31.35,22.0
2520,28.67,28.06,40.36,36.36,28.36,31.36,22.0
2525,28.56,28.04,40.36,36.36,28.36,31.36,22.0
2530,28.77,28.1,40.37,36.37,28.37,31.37,22.0
2535,28.65,28.03,40.38,36.38,28.38,31.38,22.0
2540,28.63,28.11,40.39,36.39,28.39,31.39,22.0
2545,28.71,28.1,40.4,36.4,28.4,31.4,22.0
2550,28.7,28.13,40.41,36.41,28.41,31.41,22.0
2555,28.75,28.13,40.42,36.42,28.42,31.42,22.0
2560,28.67,28.1,40.43,36.43,28.43,31.43,22.0
2565,28.76,28.21,40.44,36.44,28.44,31.44,22.0
2570,28.8,28.13,40.45,36.45,28.45,31.45,22.0
2575,28.7,28.23,40.45,36.45,28.45,31.45,22.0
2580,28.81,28.13,40.46,36.46,28.46,31.46,22.0
2585,28.85,28.23,40.47,36.47,28.47,31.47,22.0
2590,28.75,28.17,40.48,36.48,28.48,31.48,22.0
2595,28.81,28.18,40.49,36.49,28.49,31.49,22.0
2600,28.77,28.3,40.5,36.5,28.5,31.5,22.0
2605,28.76,28.16,40.51,36.51,28.51,31.51,22.0
2610,28.75,28.2,40.52,36.52,28.52,31.52,22.0
2615,28.78,28.2,40.52,36.52,28.52,31.52,22.0
2620,28.84,28.18,40.53,36.53,28.53,31.53,22.0
2625,28.86,28.18,40.54,36.54,28.54,31.54,22.0
2630,28.82,28.23,40.55,36.55,28.55,31.55,22.0
2635,28.85,28.35,40.56,36.56,28.56,31.56,22.0
2640,28.94,28.14,40.57,36.57,28.57,31.57,22.0
2645,28.98,28.3,40.58,36.58,28.58,31.58,22.0
2650,28.87,28.23,40.59,36.59,28.59,31.59,22.0
2655,28.98,28.26,40.6,36.6,28.6,31.6,22.0
2660,28.89,28.22,40.6,36.6,28.6,31.6,22.0
2665,28.85,28.2,40.61,36.61,28.61,31.61,22.0
2670,28.87,28.3,40.62,36.62,28.62,31.62,22.0
2675,28.93,28.39,40.63,36.63,28.63,31.63,22.0
2680,29.01,28.37,40.64,36.64,28.64,31.64,22.0
2685,28.95,28.42,40.65,36.65,28.65,31.65,22.0
2690,28.96,28.31,40.66,36.66,28.66,31.66,22.0
2695,29.01,28.34,40.66,36.66,28.66,31.66,22.0
2700,29.06,28.47,40.67,36.67,28.67,31.67,22.0
2705,28.96,28.43,40.68,36.68,28.68,31.68,22.0
2710,29.05,28.42,40.69,36.69,28.69,31.69,22.0
2715,29.05,28.39,40.7,36.7,28.7,31.7,22.0
2720,28.96,28.45,40.71,36.71,28.71,31.71,22.0
2725,29.03,28.35,40.72,36.72,28.72,31.72,22.0
2730,29.03,28.4,40.72,36.72,28.72,31.72,22.0
2735,29.13,28.3,40.73,36.73,28.73,31.73,22.0
2740,29.11,28.45,40.74,36.74,28.74,31.74,22.0
2745,29.1,28.47,40.75,36.75,28.75,31.75,22.0
2750,29.01,28.53,40.76,36.76,28.76,31.76,22.0
2755,29.03,28.55,40.77,36.77,28.77,31.77,22.0
2760,29.04,28.36,40.78,36.78,28.78,31.78,22.0
2765,29.07,28.42,40.78,36.78,28.78,31.78,22.0
2770,29.1,28.53,40.79,36.79,28.79,31.79,22.0
2775,29.04,28.56,40.8,36.8,28.8,31.8,22.0
2780,29.1,28.47,40.81,36.81,28.81,31.81,22.0
2785,29.16,28.58,40.82,36.82,28.82,31.82,22.0
2790,29.13,28.46,40.83,36.83,28.83,31.83,22.0
2795,29.2,28.56,40.83,36.83,28.83,31.83,22.0
2800,29.09,28.52,40.84,36.84,28.84,31.84,22.0
2805,29.15,28.61,40.85,36.85,28.85,31.85,22.0
2810,29.1,28.58,40.86,36.86,28.86,31.86,22.0
2815,29.27,28.65,40.87,36.87,28.87,31.87,22.0
2820,29.14,28.65,40.88,36.88,28.88,31.88,22.0
2825,29.16,28.61,40.89,36.89,28.89,31.89,22.0
2830,29.24,28.62,40.89,36.89,28.89,31.89,22.0
2835,29.27,28.66,40.9,36.9,28.9,31.9,22.0
2840,29.25,28.61,40.91,36.91,28.91,31.91,22.0
2845,29.18,28.61,40.92,36.92,28.92,31.92,22.0
2850,29.29,28.64,40.93,36.93,28.93,31.93,22.0
2855,29.21,28.59,40.94,36.94,28.94,31.94,22.0
2860,29.19,28.67,40.94,36.94,28.94,31.94,22.0
2865,29.2,28.67,40.95,36.95,28.95,31.95,22.0
2870,29.26,28.74,40.96,36.96,28.96,31.96,22.0
2875,29.28,28.6,40.97,36.97,28.97,31.97,22.0
2880,29.3,28.69,40.98,36.98,28.98,31.98,22.0
2885,29.27,28.7,40.98,36.98,28.98,31.98,22.0
2890,29.28,28.79,40.99,36.99,28.99,31.99,22.0
2895,29.34,28.73,41.0,37.0,29.0,32.0,22.0
2900,29.25,28.76,41.01,37.01,29.01,32.01,22.0
2905,29.39,28.69,41.02,37.02,29.02,32.02,22.0
2910,29.28,28.67,41.03,37.03,29.03,32.03,22.0
2915,29.3,28.76,41.03,37.03,29.03,32.03,22.0
2920,29.32,28.7,41.04,37.04,29.04,32.04,22.0
2925,29.42,28.76,41.05,37.05,29.05,32.05,22.0
2930,29.34,28.75,41.06,37.06,29.06,32.06,22.0
2935,29.35,28.78,41.07,37.07,29.07,32.07,22.0
2940,29.39,28.67,41.07,37.07,29.07,32.07,22.0
2945,29.44,28.77,41.08,37.08,29.08,32.08,22.0
2950,29.35,28.82,41.09,37.09,29.09,32.09,22.0
2955,29.44,28.81,41.1,37.1,29.1,32.1,22.0
2960,29.42,28.75,41.11,37.11,29.11,32.11,22.0
2965,29.34,28.86,41.11,37.11,29.11,32.11,22.0
2970,29.44,28.85,41.12,37.12,29.12,32.12,22.0
2975,29.4,28.86,41.13,37.13,29.13,32.13,22.0
2980,29.55,28.79,41.14,37.14,29.14,32.14,22.0
2985,29.4,28.83,41.15,37.15,29.15,32.15,22.0
2990,29.54,28.97,41.16,37.16,29.16,32.16,22.0
2995,29.44,28.93,41.16,37.16,29.16,32.16,22.0
3000,29.46,28.86,41.17,37.17,29.17,32.17,22.0
3005,29.44,28.87,41.18,37.18,29.18,32.18,22.0
3010,29.37,28.9,41.19,37.19,29.19,32.19,22.0
3015,29.49,28.81,41.2,37.2,29.2,32.2,22.0
3020,29.5,28.85,41.2,37.2,29.2,32.2,22.0
3025,29.49,28.86,41.21,37.21,29.21,32.21,22.0
3030,29.55,28.84,41.22,37.22,29.22,32.22,22.0
3035,29.49,28.95,41.23,37.23,29.23,32.23,22.0
3040,29.57,28.9,41.23,37.23,29.23,32.23,22.0
3045,29.52,28.97,41.24,37.24,29.24,32.24,22.0
3050,29.64,28.92,41.25,37.25,29.25,32.25,22.0
3055,29.58,28.97,41.26,37.26,29.26,32.26,22.0
3060,29.54,29.03,41.27,37.27,29.27,32.27,22.0
3065,29.63,28.97,41.27,37.27,29.27,32.27,22.0
3070,29.54,29.02,41.28,37.28,29.28,32.28,22.0
3075,29.6,29.05,41.29,37.29,29.29,32.29,22.0
3080,29.49,28.96,41.3,37.3,29.3,32.3,22.0
3085,29.56,29.03,41.31,37.31,29.31,32.31,22.0
3090,29.62,29.01,41.31,37.31,29.31,32.31,22.0
3095,29.66,28.97,41.32,37.32,29.32,32.32,22.0
3100,29.59,29.01,41.33,37.33,29.33,32.33,22.0
3105,29.66,28.94,41.34,37.34,29.34,32.34,22.0
3110,29.69,28.99,41.34,37.34,29.34,32.34,22.0
3115,29.66,29.1,41.35,37.35,29.35,32.35,22.0
3120,29.69,29.12,41.36,37.36,29.36,32.36,22.0
3125,29.66,29.03,41.37,37.37,29.37,32.37,22.0
3130,29.72,29.04,41.38,37.38,29.38,32.38,22.0
3135,29.69,29.02,41.38,37.38,29.38,32.38,22.0
3140,29.76,29.02,41.39,37.39,29.39,32.39,22.0
3145,29.68,29.07,41.4,37.4,29.4,32.4,22.0
3150,29.8,29.15,41.41,37.41,29.41,32.41,22.0
3155,29.68,29.18,41.41,37.41,29.41,32.41,22.0
3160,29.69,29.1,41.42,37.42,29.42,32.42,22.0
3165,29.73,29.1,41.43,37.43,29.43,32.43,22.0
3170,29.74,29.12,41.44,37.44,29.44,32.44,22.0
3175,29.68,29.22,41.44,37.44,29.44,32.44,22.0
3180,29.72,29.12,41.45,37.45,29.45,32.45,22.0
3185,29.81,29.17,41.46,37.46,29.46,32.46,22.0
3190,29.85,29.16,41.47,37.47,29.47,32.47,22.0
3195,29.8,29.23,41.48,37.48,29.48,32.48,22.0
3200,29.81,29.11,41.48,37.48,29.48,32.48,22.0
3205,29.71,29.19,41.49,37.49,29.49,32.49,22.0
3210,29.79,29.23,41.5,37.5,29.5,32.5,22.0
3215,29.78,29.15,41.51,37.51,29.51,32.51,22.0
3220,29.8,29.12,41.51,37.51,29.51,32.51,22.0
3225,29.82,29.17,41.52,37.52,29.52,32.52,22.0
3230,29.84,29.37,41.53,37.53,29.53,32.53,22.0
3235,29.76,29.32,41.54,37.54,29.54,32.54,22.0
3240,29.8,29.31,41.54,37.54,29.54,32.54,22.0
3245,29.8,29.31,41.55,37.55,29.55,32.55,22.0
3250,29.82,29.19,41.56,37.56,29.56,32.56,22.0
3255,29.93,29.28,41.57,37.57,29.57,32.57,22.0
3260,29.93,29.24,41.57,37.57,29.57,32.57,22.0
3265,29.86,29.3,41.58,37.58,29.58,32.58,22.0
3270,29.89,29.29,41.59,37.59,29.59,32.59,22.0
3275,29.91,29.32,41.6,37.6,29.6,32.6,22.0
3280,29.86,29.35,41.6,37.6,29.6,32.6,22.0
3285,29.87,29.34,41.61,37.61,29.61,32.61,22.0
3290,29.87,29.28,41.62,37.62,29.62,32.62,22.0
3295,29.92,29.38,41.63,37.63,29.63,32.63,22.0
3300,29.96,29.4,41.63,37.63,29.63,32.63,22.0
3305,30.01,29.34,41.64,37.64,29.64,32.64,22.0
3310,30.05,29.4,41.65,37.65,29.65,32.65,22.0
3315,29.97,29.39,41.66,37.66,29.66,32.66,22.0
3320,29.94,29.46,41.66,37.66,29.66,32.66,22.0
3325,29.98,29.36,41.67,37.67,29.67,32.67,22.0
3330,29.97,29.37,41.68,37.68,29.68,32.68,22.0
3335,29.98,29.38,41.68,37.68,29.68,32.68,22.0
3340,30.04,29.36,41.69,37.69,29.69,32.69,22.0
3345,30.02,29.44,41.7,37.7,29.7,32.7,22.0
3350,30.03,29.44,41.71,37.71,29.71,32.71,22.0
3355,30.0,29.4,41.71,37.71,29.71,32.71,22.0
3360,30.05,29.36,41.72,37.72,29.72,32.72,22.0
3365,30.0,29.47,41.73,37.73,29.73,32.73,22.0
3370,30.03,29.41,41.74,37.74,29.74,32.74,22.0
3375,29.99,29.44,41.74,37.74,29.74,32.74,22.0
3380,30.07,29.44,41.75,37.75,29.75,32.75,22.0
3385,30.07,29.52,41.76,37.76,29.76,32.76,22.0
3390,30.09,29.49,41.76,37.76,29.76,32.76,22.0
3395,30.08,29.57,41.77,37.77,29.77,32.77,22.0
3400,30.04,29.53,41.78,37.78,29.78,32.78,22.0
3405,30.06,29.47,41.79,37.79,29.79,32.79,22.0
3410,30.12,29.5,41.79,37.79,29.79,32.79,22.0
3415,30.02,29.55,41.8,37.8,29.8,32.8,22.0
3420,30.13,29.45,41.81,37.81,29.81,32.81,22.0
3425,30.12,29.53,41.82,37.82,29.82,32.82,22.0
3430,30.17,29.6,41.82,37.82,29.82,32.82,22.0
3435,30.1,29.48,41.83,37.83,29.83,32.83,22.0
3440,30.1,29.53,41.84,37.84,29.84,32.84,22.0
3445,30.14,29.44,41.84,37.84,29.84,32.84,22.0
3450,30.17,29.49,41.85,37.85,29.85,32.85,22.0
3455,30.15,29.59,41.86,37.86,29.86,32.86,22.0
3460,30.12,29.55,41.87,37.87,29.87,32.87,22.0
3465,30.1,29.54,41.87,37.87,29.87,32.87,22.0
3470,30.13,29.61,41.88,37.88,29.88,32.88,22.0
3475,30.1,29.52,41.89,37.89,29.89,32.89,22.0
3480,30.2,29.53,41.89,37.89,29.89,32.89,22.0
3485,30.26,29.61,41.9,37.9,29.9,32.9,22.0
3490,30.21,29.63,41.91,37.91,29.91,32.91,22.0
3495,30.15,29.64,41.91,37.91,29.91,32.91,22.0
3500,30.27,29.6,41.92,37.92,29.92,32.92,22.0
3505,30.15,29.6,41.93,37.93,29.93,32.93,22.0
3510,30.16,29.66,41.94,37.94,29.94,32.94,22.0
3515,30.27,29.72,41.94,37.94,29.94,32.94,22.0
3520,30.21,29.59,41.95,37.95,29.95,32.95,22.0
3525,30.18,29.59,41.96,37.96,29.96,32.96,22.0
3530,30.36,29.67,41.96,37.96,29.96,32.96,22.0
3535,30.25,29.63,41.97,37.97,29.97,32.97,22.0
3540,30.3,29.62,41.98,37.98,29.98,32.98,22.0
3545,30.28,29.75,41.98,37.98,29.98,32.98,22.0
3550,30.3,29.63,41.99,37.99,29.99,32.99,22.0
3555,30.25,29.71,42.0,38.0,30.0,33.0,22.0
3560,30.29,29.72,42.01,38.01,30.01,33.01,22.0
3565,30.36,29.73,42.01,38.01,30.01,33.01,22.0
3570,30.31,29.66,42.02,38.02,30.02,33.02,22.0
3575,30.31,29.73,42.03,38.03,30.03,33.03,22.0
3580,30.37,29.73,42.03,38.03,30.03,33.03,22.0
3585,30.29,29.84,42.04,38.04,30.04,33.04,22.0
3590,30.31,29.86,42.05,38.05,30.05,33.05,22.0
3595,30.35,29.72,42.05,38.05,30.05,33.05,22.0
